Id,Type,Name,File,Line
0,CPU,<default>,,0
1,CPU,FTextLocalizationManager::GetDisplayString,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Internationalization\TextLocalizationManager.cpp,1074
2,CPU,InitCommand,D:\build\++UE5\Sync\Engine\Source\Runtime\RenderCore\Public\RenderingThread.h,597
3,CPU,FEngineLoop::PreInitPreStartupScreen,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,1703
4,CPU,LaunchSetGameName,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,1792
5,CPU,FTraceAux_Init,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\ProfilingDebugging\TraceAuxiliary.cpp,1977
6,CPU,FTraceAux_Launch_UTS,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\ProfilingDebugging\TraceAuxiliary.cpp,1984
7,CPU,FTraceAux_Start,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\ProfilingDebugging\TraceAuxiliary.cpp,1835
8,CPU,FTraceAux_EnableChannels,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\ProfilingDebugging\TraceAuxiliary.cpp,1815
9,CPU,FTraceAux_InitialStats,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\ProfilingDebugging\TraceAuxiliary.cpp,2076
10,CPU,FTraceAux_Stats_Counters,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\ProfilingDebugging\TraceAuxiliary.cpp,1091
11,CPU,FTraceAux_Stats_LLM,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\ProfilingDebugging\TraceAuxiliary.cpp,1111
12,CPU,UE::Trace::Initialize,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\ProfilingDebugging\TraceAuxiliary.cpp,2152
13,CPU,FTraceAux_CallstackTrace_Create,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\ProfilingDebugging\TraceAuxiliary.cpp,2172
14,CPU,FTraceAux_CallstackTrace_Init,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\ProfilingDebugging\TraceAuxiliary.cpp,2180
15,CPU,FTraceAux_PlatformEventsTrace_Init,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\ProfilingDebugging\TraceAuxiliary.cpp,2187
16,CPU,FTraceAux_TryAutoConnect,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\ProfilingDebugging\TraceAuxiliary.cpp,2409
17,CPU,LLM Init,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,1808
18,CPU,InitTaggedStorage,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,1817
19,CPU,CreateConsoleOutputDevice,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,1839
20,CPU,Fix up the relative project path,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,1909
21,CPU,FWindowsPlatformFile_IterateDirectoryCommon_WithCallback,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Windows\WindowsPlatformFile.cpp,1767
22,CPU,Init Output Devices,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2011
23,CPU,FCoreDelegates::OnOutputDevicesInit,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2021
24,CPU,Command Line Adjustments,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2029
25,CPU,FConfigContext::Load,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Misc\ConfigContext.cpp,206
26,CPU,BeginPreInitTextLocalization,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2082
27,CPU,PreInitShaderLibrary,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2088
28,CPU,LaunchCheckForFileOverride,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2096
29,CPU,ParallelFor,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Public\Async\ParallelFor.h,127
30,CPU,AddExtraBinarySearchPaths,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2107
31,CPU,LoadIniFileHierarchy,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Misc\ConfigContext.cpp,1028
32,CPU,IFileManager::Get().ProcessCommandLineOptions,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2114
33,CPU,InitializeNewAsyncIO,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2120
34,CPU,PlatformFileChainElement->InitializeAfterProjectFilePath,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2456
35,CPU,IProjectManager::Get().LoadProjectFile,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2476
36,CPU,new FProjectManager,D:\build\++UE5\Sync\Engine\Source\Runtime\Projects\Private\ProjectManager.cpp,542
37,CPU,FProjectDescriptor::Load,D:\build\++UE5\Sync\Engine\Source\Runtime\Projects\Private\ProjectDescriptor.cpp,60
38,CPU,FProjectDescriptor::Read,D:\build\++UE5\Sync\Engine\Source\Runtime\Projects\Private\ProjectDescriptor.cpp,98
39,CPU,FTaskGraphInterface::Startup,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2551
40,CPU,ExecuteTask,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Async\TaskTrace.cpp,96
41,CPU,Init FQueuedThreadPool's,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2562
42,CPU,FWaitingQueue_CreateThread,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Async\Fundamental\WaitingQueue.cpp,480
43,CPU,CreateWorkerThread,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Async\Fundamental\Scheduler.cpp,290
44,CPU,ExecuteForegroundTask,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Async\Fundamental\Scheduler.cpp,396
45,CPU,LoadCoreModules,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2633
46,CPU,ProcessNewlyLoadedUObjects,D:\build\++UE5\Sync\Engine\Source\Runtime\CoreUObject\Private\UObject\UObjectBase.cpp,1029
47,CPU,UClassRegisterAllCompiledInClasses,D:\build\++UE5\Sync\Engine\Source\Runtime\CoreUObject\Private\UObject\UObjectBase.cpp,780
48,CPU,TaskWorkerIsLookingForWork,,0
49,CPU,FPackageName::FLongPackagePathsSingleton,D:\build\++UE5\Sync\Engine\Source\Runtime\CoreUObject\Private\Misc\PackageName.cpp,454
50,CPU,DiscoverAllPlugins,D:\build\++UE5\Sync\Engine\Source\Runtime\Projects\Private\PluginManager.cpp,535
51,CPU,FWaitingQueue_Unpark_SignalWaitingThread,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Async\Fundamental\WaitingQueue.cpp,647
52,CPU,FindPluginsInDirectory.PF,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Public\Async\ParallelFor.h,323
53,CPU,ParallelFor.Wait,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Public\Async\ParallelFor.h,456
54,CPU,ReadPluginsInDirectory.PF,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Public\Async\ParallelFor.h,323
55,CPU,FMaterialRenderProxy::UpdateDeferredCachedUniformExpressions,D:\build\++UE5\Sync\Engine\Source\Runtime\Engine\Private\Materials\MaterialRenderProxy.cpp,869
56,CPU,LoadPreInitModules,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2697
57,CPU,AppInit,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2726
58,CPU,BeginInitTextLocalization,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,6412
59,CPU,FPlatformMisc::PlatformPreInit,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,6423
60,CPU,FPlatformApplicationMisc::PreInit,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,6428
61,CPU,IFileManager::Get().ProcessCommandLineOptions(),D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,6442
62,CPU,FPlatformOutputDevices::SetupOutputDevices,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,6477
63,CPU,FOutputDeviceRedirector::FlushBufferedItems,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Misc\OutputDeviceRedirector.cpp,575
64,CPU,FOutputDevicesWriteScopeLock,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Misc\OutputDeviceRedirector.cpp,331
65,CPU,FConfigCacheIni::InitializeConfigSystem,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,6483
66,CPU,FAsyncWriter_SerializeBufferToArchive,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Misc\OutputDeviceFile.cpp,90
67,CPU,LoadRemainingConfigFiles,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Misc\ConfigCacheIni.cpp,6330
68,CPU,LowerThreadPriority,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Async\Fundamental\Scheduler.cpp,413
69,CPU,ExecuteBackgroundTask,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Async\Fundamental\Scheduler.cpp,418
70,CPU,ConfigReadyForUseBroadcast,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Misc\ConfigCacheIni.cpp,6517
71,CPU,SaveConfigFileWrapper,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Misc\ConfigCacheIni.cpp,446
72,CPU,ConfigUtilities::ApplyCVarsFromBootHotfix,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,6504
73,CPU,FPluginManager::ConfigureEnabledPlugins,D:\build\++UE5\Sync\Engine\Source\Runtime\Projects\Private\PluginManager.cpp,2024
74,CPU,ReadTargetBuildPluginsFromReceipt,D:\build\++UE5\Sync\Engine\Source\Runtime\Projects\Private\PluginManager.cpp,1427
75,CPU,ParseCmdLineForPlugins,D:\build\++UE5\Sync\Engine\Source\Runtime\Projects\Private\PluginManager.cpp,1462
76,CPU,EnginePlugins,D:\build\++UE5\Sync\Engine\Source\Runtime\Projects\Private\PluginManager.cpp,1600
77,CPU,ConfigureTargetEnabledPluginsFromReceipt,D:\build\++UE5\Sync\Engine\Source\Runtime\Projects\Private\PluginManager.cpp,1646
78,CPU,RaiseThreadPriority,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Async\Fundamental\Scheduler.cpp,424
79,CPU,AddPluginReferences,D:\build\++UE5\Sync\Engine\Source\Runtime\Projects\Private\PluginManager.cpp,1715
80,CPU,ConfigureEnabledPluginForCurrentTarget,D:\build\++UE5\Sync\Engine\Source\Runtime\Projects\Private\PluginManager.cpp,2190
81,CPU,AddPluginsEnabledByDefault,D:\build\++UE5\Sync\Engine\Source\Runtime\Projects\Private\PluginManager.cpp,1733
