Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
EndUpdateTexture3D,5,5.000000,0.000036,0.000002,0.000025,0.000007,0.000003,0.000036,0.000002,0.000025,0.000007,0.000003
RenderGraphExecute,19,19.000000,0.451461,0.000000,0.314124,0.023761,0.000000,0.327178,0.000000,0.279565,0.017220,0.000000
FRDGBuilder::SubmitBufferUploads,19,19.000000,0.000380,0.000000,0.000090,0.000020,0.000001,0.000380,0.000000,0.000090,0.000020,0.000001
SendAllEndOfFrameUpdates,7,7.000000,0.000003,0.000000,0.000001,0.000000,0.000000,0.000003,0.000000,0.000001,0.000000,0.000000
GPUSkinCache_UpdateSkinningBatches,8,8.000000,0.000006,0.000000,0.000001,0.000001,0.000001,0.000006,0.000000,0.000001,0.000001,0.000001
SceneRender,6,6.000000,0.454785,0.018569,0.314232,0.075797,0.032008,0.003594,0.000105,0.001317,0.000599,0.000650
RayTracingGeometry,6,6.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000
UpdateLumenSceneBuffers,6,6.000000,0.000665,0.000002,0.000250,0.000111,0.000136,0.000665,0.000002,0.000250,0.000111,0.000136
UpdateAllPrimitiveSceneInfos,7,7.000000,0.000851,0.000027,0.000288,0.000122,0.000098,0.000051,0.000000,0.000013,0.000007,0.000009
GPUSceneUpdate,7,7.000000,0.000438,0.000006,0.000146,0.000063,0.000064,0.000000,0.000000,0.000000,0.000000,0.000000
GPUScene.Update,7,7.000000,0.000438,0.000006,0.000146,0.000063,0.000064,0.000164,0.000000,0.000073,0.000023,0.000014
UpdateGPUScene,7,7.000000,0.000275,0.000006,0.000074,0.000039,0.000036,0.000275,0.000006,0.000074,0.000039,0.000036
UpdateDistanceFieldObjectBuffers,5,5.000000,0.000079,0.000005,0.000025,0.000016,0.000016,0.000079,0.000005,0.000025,0.000016,0.000016
UpdateDistanceFieldAtlas,6,6.000000,0.000438,0.000059,0.000093,0.000073,0.000074,0.000438,0.000059,0.000093,0.000073,0.000074
