Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
EndUpdateTexture3D,5,5.000000,0.000038,0.000002,0.000028,0.000008,0.000003,0.000038,0.000002,0.000028,0.000008,0.000003
RenderGraphExecute,531,531.000000,3.302348,0.000000,0.190661,0.006219,0.000000,1.060053,0.000000,0.160608,0.001996,0.000000
FRDGBuilder::SubmitBufferUploads,531,531.000000,0.013739,0.000000,0.000059,0.000026,0.000002,0.013739,0.000000,0.000059,0.000026,0.000002
SendAllEndOfFrameUpdates,266,266.000000,0.000207,0.000000,0.000001,0.000001,0.000001,0.000207,0.000000,0.000001,0.000001,0.000001
GPUSkinCache_UpdateSkinningBatches,266,266.000000,0.000231,0.000000,0.000002,0.000001,0.000001,0.000231,0.000000,0.000002,0.000001,0.000001
SceneRender,265,265.000000,3.575816,0.005912,0.269094,0.013494,0.011229,0.275941,0.000053,0.078429,0.001041,0.000053
RayTracingGeometry,265,265.000000,0.000093,0.000000,0.000002,0.000000,0.000000,0.000093,0.000000,0.000002,0.000000,0.000000
UpdateLumenSceneBuffers,265,265.000000,0.009882,0.000003,0.000079,0.000037,0.000032,0.009882,0.000003,0.000079,0.000037,0.000032
UpdateAllPrimitiveSceneInfos,265,265.000000,0.006807,0.000005,0.000252,0.000026,0.000022,0.001583,0.000000,0.000014,0.000006,0.000006
GPUSceneUpdate,265,265.000000,0.004895,0.000005,0.000033,0.000018,0.000017,0.000003,0.000000,0.000001,0.000000,0.000000
GPUScene.Update,265,265.000000,0.004892,0.000005,0.000033,0.000018,0.000017,0.002031,0.000000,0.000019,0.000008,0.000007
UpdateGPUScene,265,265.000000,0.002862,0.000005,0.000020,0.000011,0.000010,0.002862,0.000005,0.000020,0.000011,0.000010
UpdateDistanceFieldObjectBuffers,264,264.000000,0.001644,0.000004,0.000016,0.000006,0.000006,0.001644,0.000004,0.000016,0.000006,0.000006
UpdateDistanceFieldAtlas,265,265.000000,0.034407,0.000060,0.004145,0.000130,0.000060,0.034407,0.000060,0.004145,0.000130,0.000060
UpdateGlobalDistanceField,265,265.000000,0.263443,0.000262,0.002477,0.000994,0.000732,0.000256,0.000001,0.000021,0.000001,0.000001
Update %s,270,270.000000,0.263187,0.000069,0.002386,0.000975,0.000689,0.230477,0.000069,0.002261,0.000854,0.000567
Coarse,265,265.000000,0.032710,0.000121,0.000242,0.000123,0.000123,0.032710,0.000121,0.000242,0.000123,0.000123
Nanite::Streaming,264,264.000000,0.028525,0.000050,0.000119,0.000108,0.000108,0.000013,0.000000,0.000010,0.000000,0.000000
Nanite::Transcode,9,9.000000,0.000355,0.000030,0.000055,0.000039,0.000041,0.000355,0.000030,0.000055,0.000039,0.000041
Scene,265,265.000000,1.891283,0.004495,0.027395,0.007137,0.006577,0.135433,0.000206,0.006953,0.000511,0.000275
VisibilityCommands,1,1.000000,0.015475,0.015475,0.015475,0.015475,0.015475,0.015475,0.015475,0.015475,0.015475,0.015475
FXSystemPreRender,265,265.000000,0.002068,0.000006,0.000023,0.000008,0.000008,0.001740,0.000005,0.000010,0.000007,0.000006
GPUParticles_PreRender,265,265.000000,0.000328,0.000001,0.000013,0.000001,0.000001,0.000328,0.000001,0.000013,0.000001,0.000001
GPUSceneUpdate,265,265.000000,0.001578,0.000005,0.000013,0.000006,0.000006,0.001578,0.000005,0.000013,0.000006,0.000006
SceneCulling_ComputeExplicitChunkBounds,264,264.000000,0.003105,0.000010,0.000016,0.000012,0.000012,0.003105,0.000010,0.000016,0.000012,0.000012
